Grid size:            8          16           8
Rayleigh Number:      0.1780E+04
Prandtl Number:      0.7005E+01
delta_T:      0.4324E+00
SIMPLER Algorithm Duration:     0.1323E+01
 Solver #:           2
 R_c, dR_c, R_e, dR_e
 0.52846E-02, 0.36614E-03, 0.32756E-05, 0.92627E-02
 0.52864E-02, 0.35719E-03, 0.30285E-05, 0.81613E-01
 0.52882E-02, 0.34127E-03, 0.30409E-05, 0.40827E-02
 0.52900E-02, 0.33324E-03, 0.28429E-05, 0.69622E-01
 0.52917E-02, 0.31809E-03, 0.28210E-05, 0.77687E-02
 0.52933E-02, 0.31082E-03, 0.26740E-05, 0.55001E-01
 0.52949E-02, 0.29648E-03, 0.26148E-05, 0.22629E-01
 0.52964E-02, 0.28984E-03, 0.25141E-05, 0.40039E-01
 0.52979E-02, 0.26556E-03, 0.33192E-05, 0.24254E+00
 0.52993E-02, 0.26827E-03, 0.26535E-05, 0.25089E+00
 0.53006E-02, 0.25459E-03, 0.26583E-05, 0.18284E-02
 0.53020E-02, 0.25293E-03, 0.23806E-05, 0.11667E+00
 0.53032E-02, 0.23873E-03, 0.22796E-05, 0.44317E-01
 0.53045E-02, 0.23556E-03, 0.21574E-05, 0.56638E-01
 0.53056E-02, 0.20964E-03, 0.28194E-05, 0.23480E+00
 0.53067E-02, 0.21690E-03, 0.24908E-05, 0.13190E+00
 0.53078E-02, 0.20566E-03, 0.22845E-05, 0.90305E-01
 0.53089E-02, 0.20499E-03, 0.21528E-05, 0.61190E-01
 0.53099E-02, 0.19293E-03, 0.19409E-05, 0.10919E+00
 0.53110E-02, 0.19079E-03, 0.19137E-05, 0.14193E-01
 0.53118E-02, 0.16687E-03, 0.25330E-05, 0.24448E+00
 0.53128E-02, 0.17681E-03, 0.19652E-05, 0.28892E+00
 0.53137E-02, 0.16643E-03, 0.19119E-05, 0.27890E-01
 0.53146E-02, 0.16627E-03, 0.16749E-05, 0.14149E+00
 0.53153E-02, 0.14236E-03, 0.20840E-05, 0.19632E+00
 0.53161E-02, 0.15378E-03, 0.18468E-05, 0.12848E+00
 0.53169E-02, 0.14471E-03, 0.16114E-05, 0.14608E+00
 0.53177E-02, 0.14481E-03, 0.15384E-05, 0.47444E-01
 0.53183E-02, 0.12272E-03, 0.20019E-05, 0.23154E+00
 0.53190E-02, 0.13408E-03, 0.16336E-05, 0.22545E+00
 0.53196E-02, 0.11064E-03, 0.18360E-05, 0.11022E+00
 0.53203E-02, 0.12671E-03, 0.15869E-05, 0.15694E+00
 0.53208E-02, 0.10284E-03, 0.18849E-05, 0.15810E+00
 0.53215E-02, 0.11886E-03, 0.16648E-05, 0.13227E+00
 0.53220E-02, 0.95877E-04, 0.17226E-05, 0.33591E-01
 0.53226E-02, 0.11105E-03, 0.15048E-05, 0.14474E+00
 0.53231E-02, 0.89657E-04, 0.16061E-05, 0.63037E-01
 0.53236E-02, 0.10361E-03, 0.15169E-05, 0.58777E-01
 0.53241E-02, 0.83824E-04, 0.15348E-05, 0.11694E-01
 0.53245E-02, 0.76030E-04, 0.19690E-05, 0.22049E+00
 0.53250E-02, 0.98806E-04, 0.11935E-05, 0.64980E+00
 0.53254E-02, 0.84625E-04, 0.13479E-05, 0.11455E+00
 0.53258E-02, 0.70549E-04, 0.14747E-05, 0.86008E-01
 0.53262E-02, 0.67245E-04, 0.18352E-05, 0.19643E+00
 0.53266E-02, 0.86950E-04, 0.11507E-05, 0.59483E+00
 0.53270E-02, 0.73298E-04, 0.13286E-05, 0.13391E+00
 0.53273E-02, 0.60875E-04, 0.13848E-05, 0.40548E-01
 0.53277E-02, 0.59035E-04, 0.16069E-05, 0.13826E+00
 0.53280E-02, 0.54541E-04, 0.17544E-05, 0.84055E-01
 0.53282E-02, 0.52772E-04, 0.18234E-05, 0.37833E-01
 0.53285E-02, 0.50562E-04, 0.19218E-05, 0.51190E-01
 0.53289E-02, 0.75075E-04, 0.94139E-06, 0.10414E+01
 0.53291E-02, 0.38121E-04, 0.12486E-05, 0.24607E+00
 0.53295E-02, 0.68890E-04, 0.99622E-06, 0.25337E+00
 0.53297E-02, 0.35910E-04, 0.12753E-05, 0.21881E+00
 0.53300E-02, 0.55466E-04, 0.14941E-05, 0.14647E+00
 0.53302E-02, 0.40005E-04, 0.13656E-05, 0.94081E-01
 0.53304E-02, 0.43657E-04, 0.15817E-05, 0.13661E+00
 0.53306E-02, 0.37564E-04, 0.14694E-05, 0.76405E-01
 0.53308E-02, 0.39752E-04, 0.16051E-05, 0.84563E-01
 0.53310E-02, 0.35408E-04, 0.15076E-05, 0.64675E-01
 0.53312E-02, 0.34855E-04, 0.15981E-05, 0.56620E-01
 0.53314E-02, 0.32854E-04, 0.15095E-05, 0.58703E-01
 0.53316E-02, 0.34875E-04, 0.15599E-05, 0.32317E-01
 0.53317E-02, 0.31400E-04, 0.14801E-05, 0.53934E-01
 0.53319E-02, 0.31221E-04, 0.15139E-05, 0.22296E-01
 0.53320E-02, 0.29923E-04, 0.14370E-05, 0.53469E-01
 0.53322E-02, 0.29379E-04, 0.14573E-05, 0.13929E-01
 0.53323E-02, 0.20382E-04, 0.15374E-05, 0.52087E-01
 0.53325E-02, 0.30240E-04, 0.15504E-05, 0.84187E-02
 0.53326E-02, 0.25563E-04, 0.14186E-05, 0.92909E-01
 0.53327E-02, 0.17281E-04, 0.14982E-05, 0.53078E-01
 0.53329E-02, 0.29757E-04, 0.15413E-05, 0.27967E-01
 0.53329E-02, 0.16384E-04, 0.15566E-05, 0.98341E-02
 0.53331E-02, 0.24268E-04, 0.15020E-05, 0.36308E-01
 0.53332E-02, 0.14760E-04, 0.15432E-05, 0.26650E-01
 0.53333E-02, 0.25191E-04, 0.15075E-05, 0.23635E-01
 0.53334E-02, 0.13952E-04, 0.15206E-05, 0.86061E-02
 0.53335E-02, 0.22537E-04, 0.14870E-05, 0.22629E-01
 0.53336E-02, 0.12382E-04, 0.15771E-05, 0.57152E-01
 0.53337E-02, 0.21136E-04, 0.14408E-05, 0.94577E-01
 0.53337E-02, 0.11516E-04, 0.15197E-05, 0.51903E-01
 0.53338E-02, 0.20277E-04, 0.14622E-05, 0.39318E-01
 0.53339E-02, 0.10718E-04, 0.15396E-05, 0.50241E-01
 0.53340E-02, 0.19313E-04, 0.13989E-05, 0.10054E+00
 0.53340E-02, 0.10119E-04, 0.14681E-05, 0.47112E-01
 0.53341E-02, 0.89882E-05, 0.15339E-05, 0.42888E-01
 0.53342E-02, 0.18647E-04, 0.14801E-05, 0.36313E-01
 0.53342E-02, 0.88325E-05, 0.15412E-05, 0.39604E-01
 0.53343E-02, 0.84728E-05, 0.15206E-05, 0.13495E-01
 0.53344E-02, 0.18892E-04, 0.14301E-05, 0.63303E-01
 0.53344E-02, 0.80314E-05, 0.14817E-05, 0.34788E-01
 0.53345E-02, 0.68198E-05, 0.15390E-05, 0.37259E-01
 0.53345E-02, 0.73141E-05, 0.15027E-05, 0.24139E-01
 0.53346E-02, 0.16401E-04, 0.14603E-05, 0.29069E-01
 0.53346E-02, 0.70523E-05, 0.15079E-05, 0.31567E-01
 0.53347E-02, 0.58598E-05, 0.15574E-05, 0.31824E-01
 0.53347E-02, 0.57850E-05, 0.15994E-05, 0.26246E-01
 0.53348E-02, 0.14141E-04, 0.13948E-05, 0.14669E+00
 0.53348E-02, 0.64626E-05, 0.14306E-05, 0.24993E-01
 0.53348E-02, 0.46457E-05, 0.14721E-05, 0.28191E-01
 0.53349E-02, 0.52500E-05, 0.15026E-05, 0.20336E-01
 0.53349E-02, 0.42816E-05, 0.14671E-05, 0.24204E-01
 0.53350E-02, 0.16369E-04, 0.14481E-05, 0.13112E-01
 0.53350E-02, 0.45749E-05, 0.14828E-05, 0.23376E-01
 0.53350E-02, 0.52237E-05, 0.15211E-05, 0.25165E-01
 0.53350E-02, 0.35388E-05, 0.15550E-05, 0.21808E-01
 0.53351E-02, 0.43785E-05, 0.15831E-05, 0.17777E-01
 0.53351E-02, 0.28476E-05, 0.16076E-05, 0.15200E-01
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
